From	Entry	Entry.Name	Gene.Names
Q480K5	Q480K5	Q480K5_COLP3	CPS_2802
Q480K8	Q480K8	Q480K8_COLP3	CPS_2799
Q480L3	Q480L3	Q480L3_COLP3	CPS_2794
Q47XI6	Q47XI6	DNAK2_COLP3	CPS_3821
Q480L7	Q480L7	Q480L7_COLP3	CPS_2790
Q480M0	Q480M0	Q480M0_COLP3	CPS_2787
Q480M1	Q480M1	Q480M1_COLP3	CPS_2786
Q480M7	Q480M7	Q480M7_COLP3	CPS_2780
Q480M8	Q480M8	Q480M8_COLP3	CPS_2779
Q480M9	Q480M9	Q480M9_COLP3	CPS_2778
Q480N8	Q480N8	Q480N8_COLP3	CPS_2769
Q47XI7	Q47XI7	DNAJ_COLP3	CPS_3820
Q480N9	Q480N9	Q480N9_COLP3	CPS_2768
Q480P0	Q480P0	Q480P0_COLP3	CPS_2767
Q480P5	Q480P5	Q480P5_COLP3	CPS_2762
Q480P8	Q480P8	Q480P8_COLP3	CPS_2759
Q480P9	Q480P9	Q480P9_COLP3	CPS_2758
Q480Q0	Q480Q0	Q480Q0_COLP3	CPS_2757
Q480U3	Q480U3	Q480U3_COLP3	CPS_2714
Q480U4	Q480U4	Q480U4_COLP3	CPS_2713
Q480V6	Q480V6	Q480V6_COLP3	CPS_2700
Q480W8	Q480W8	Q480W8_COLP3	CPS_2687
Q480X7	Q480X7	Q480X7_COLP3	CPS_2678
Q480Z7	Q480Z7	Q480Z7_COLP3	CPS_2658
Q47XK5	Q47XK5	ACCD_COLP3	CPS_3802
Q481A7	Q481A7	Q481A7_COLP3	CPS_2648
Q481A8	Q481A8	Q481A8_COLP3	CPS_2647
Q481D6	Q481D6	Q481D6_COLP3	CPS_2619
Q47XL5	Q47XL5	SYC_COLP3	CPS_3792
Q481D9	Q481D9	Q481D9_COLP3	CPS_2616
Q481E1	Q481E1	Q481E1_COLP3	CPS_2614
Q481E2	Q481E2	Q481E2_COLP3	CPS_2613
Q481E3	Q481E3	Q481E3_COLP3	CPS_2612
Q481F1	Q481F1	Q481F1_COLP3	CPS_2603
Q481F5	Q481F5	Q481F5_COLP3	CPS_2599
Q481G9	Q481G9	Q481G9_COLP3	CPS_2585
Q481I6	Q481I6	Q481I6_COLP3	CPS_2568
Q481I8	Q481I8	Q481I8_COLP3	CPS_2566
Q481J5	Q481J5	Q481J5_COLP3	CPS_2559
Q481J6	Q481J6	Q481J6_COLP3	CPS_2558
Q481K0	Q481K0	Q481K0_COLP3	CPS_2554
Q481K1	Q481K1	Q481K1_COLP3	CPS_2553
Q481K6	Q481K6	Q481K6_COLP3	CPS_2548
Q47XL8	Q47XL8	CLPP_COLP3	CPS_3785
Q481P9	Q481P9	Q481P9_COLP3	CPS_2504
Q481Q4	Q481Q4	Q481Q4_COLP3	CPS_2499
Q481R4	Q481R4	Q481R4_COLP3	CPS_2489
Q481U2	Q481U2	Q481U2_COLP3	CPS_2460
Q481V3	Q481V3	Q481V3_COLP3	CPS_2449
Q482B3	Q482B3	Q482B3_COLP3	CPS_2387
Q482C9	Q482C9	Q482C9_COLP3	CPS_2371
Q482D0	Q482D0	Q482D0_COLP3	CPS_2370
Q482E8	Q482E8	Q482E8_COLP3	CPS_2350
Q482F4	Q482F4	Q482F4_COLP3	CPS_2344
Q482G0	Q482G0	Q482G0_COLP3	CPS_2338
Q482G6	Q482G6	Q482G6_COLP3	CPS_2332
Q482G7	Q482G7	Q482G7_COLP3	CPS_2331
Q482H8	Q482H8	Q482H8_COLP3	CPS_2319
Q482I7	Q482I7	Q482I7_COLP3	CPS_2310
Q47XU3	Q47XU3	GLK_COLP3	CPS_3710
Q482I8	Q482I8	Q482I8_COLP3	CPS_2309
Q482K0	Q482K0	Q482K0_COLP3	CPS_2297
Q482K1	Q482K1	Q482K1_COLP3	CPS_2296
Q482K7	Q482K7	Q482K7_COLP3	CPS_2290
Q482K8	Q482K8	Q482K8_COLP3	CPS_2289
Q47XX0	Q47XX0	CINAL_COLP3	CPS_3682
Q482M3	Q482M3	Q482M3_COLP3	CPS_2274
Q482N1	Q482N1	Q482N1_COLP3	CPS_2266
Q482N2	Q482N2	Q482N2_COLP3	CPS_2265
Q482P1	Q482P1	Q482P1_COLP3	CPS_2251
Q482P2	Q482P2	Q482P2_COLP3	CPS_2250
Q482P9	Q482P9	Q482P9_COLP3	CPS_2243
Q482S0	Q482S0	Q482S0_COLP3	CPS_2222
Q482S2	Q482S2	Q482S2_COLP3	CPS_2220
Q482S3	Q482S3	Q482S3_COLP3	CPS_2219
Q482S4	Q482S4	Q482S4_COLP3	CPS_2218
Q482S5	Q482S5	Q482S5_COLP3	CPS_2217
Q482S6	Q482S6	Q482S6_COLP3	CPS_2216
Q482S7	Q482S7	Q482S7_COLP3	CPS_2215
Q482T1	Q482T1	Q482T1_COLP3	CPS_2211
Q482T4	Q482T4	Q482T4_COLP3	CPS_2208
Q47U38	Q47U38	MNMG_COLP3	CPS_5047
Q482U2	Q482U2	Q482U2_COLP3	CPS_2200
Q482U5	Q482U5	Q482U5_COLP3	CPS_2197
Q482U9	Q482U9	Q482U9_COLP3	CPS_2193
Q482V1	Q482V1	Q482V1_COLP3	CPS_2191
Q47Y27	Q47Y27	RPPH_COLP3	CPS_3625
Q482X6	Q482X6	Q482X6_COLP3	CPS_2166
Q482Y1	Q482Y1	Q482Y1_COLP3	CPS_2161
Q482Y8	Q482Y8	Q482Y8_COLP3	CPS_2154
Q482Z7	Q482Z7	Q482Z7_COLP3	CPS_2145
Q483A3	Q483A3	Q483A3_COLP3	CPS_2139
Q483A5	Q483A5	Q483A5_COLP3	CPS_2137
Q483C8	Q483C8	Q483C8_COLP3	CPS_2113
Q483D5	Q483D5	Q483D5_COLP3	CPS_2105
Q483D8	Q483D8	Q483D8_COLP3	CPS_2102
Q483E1	Q483E1	Q483E1_COLP3	CPS_2099
Q483E3	Q483E3	Q483E3_COLP3	CPS_2097
Q483E5	Q483E5	Q483E5_COLP3	CPS_2095
Q483E6	Q483E6	Q483E6_COLP3	CPS_2094
Q483E7	Q483E7	Q483E7_COLP3	CPS_2093
Q483E8	Q483E8	Q483E8_COLP3	CPS_2092
Q483H6	Q483H6	Q483H6_COLP3	CPS_2063
Q483I2	Q483I2	Q483I2_COLP3	CPS_2057
Q483I4	Q483I4	Q483I4_COLP3	CPS_2055
Q483L3	Q483L3	Q483L3_COLP3	CPS_2025
Q483M2	Q483M2	Q483M2_COLP3	CPS_2014
Q483N2	Q483N2	Q483N2_COLP3	CPS_2004
Q483N4	Q483N4	Q483N4_COLP3	CPS_2002
Q483P9	Q483P9	Q483P9_COLP3	CPS_1987
Q483Q0	Q483Q0	Q483Q0_COLP3	CPS_1986
Q483Q4	Q483Q4	Q483Q4_COLP3	CPS_1982
Q483Q7	Q483Q7	Q483Q7_COLP3	CPS_1979
Q483T5	Q483T5	Q483T5_COLP3	CPS_1951
Q483T6	Q483T6	Q483T6_COLP3	CPS_1950
Q47U39	Q47U39	RSMG_COLP3	CPS_5046
Q47YA5	Q47YA5	RLMM_COLP3	CPS_3541
Q483Z0	Q483Z0	Q483Z0_COLP3	CPS_1895
Q484A2	Q484A2	Q484A2_COLP3	CPS_1883
Q47YA8	Q47YA8	XNI_COLP3	CPS_3538
Q484B8	Q484B8	Q484B8_COLP3	CPS_1867
Q484C0	Q484C0	Q484C0_COLP3	CPS_1865
Q484D9	Q484D9	Q484D9_COLP3	CPS_1846
Q484E0	Q484E0	Q484E0_COLP3	CPS_1845
Q484E5	Q484E5	Q484E5_COLP3	CPS_1840
Q484E9	Q484E9	Q484E9_COLP3	CPS_1836
Q484F0	Q484F0	Q484F0_COLP3	CPS_1835
Q484F7	Q484F7	Q484F7_COLP3	CPS_1828
Q484G1	Q484G1	Q484G1_COLP3	CPS_1824
Q484K7	Q484K7	Q484K7_COLP3	CPS_1777
Q47YC2	Q47YC2	TRPD_COLP3	CPS_3524
Q484N3	Q484N3	Q484N3_COLP3	CPS_1751
Q47YC9	Q47YC9	Y3517_COLP3	CPS_3517
Q484P1	Q484P1	Q484P1_COLP3	CPS_1743
Q484P4	Q484P4	Q484P4_COLP3	CPS_1733
Q484P5	Q484P5	Q484P5_COLP3	CPS_1732
Q484P7	Q484P7	Q484P7_COLP3	CPS_1730
Q484P9	Q484P9	Q484P9_COLP3	CPS_1728
Q47YG8	Q47YG8	LOLD_COLP3	CPS_3478
Q484R5	Q484R5	Q484R5_COLP3	CPS_1712
Q47YH9	Q47YH9	ZIPA_COLP3	CPS_3467
Q484S6	Q484S6	Q484S6_COLP3	CPS_1701
Q484T3	Q484T3	Q484T3_COLP3	CPS_1694
Q47YI0	Q47YI0	DNLJ_COLP3	CPS_3466
Q484Y2	Q484Y2	Q484Y2_COLP3	CPS_1645
Q485B5	Q485B5	Q485B5_COLP3	CPS_1608
Q47YJ3	Q47YJ3	RLME_COLP3	CPS_3453
Q47YJ7	Q47YJ7	GLMM_COLP3	CPS_3449
Q485D7	Q485D7	Q485D7_COLP3	CPS_1586
Q485E7	Q485E7	Q485E7_COLP3	CPS_1576
Q47YJ8	Q47YJ8	TPIS_COLP3	CPS_3448
Q485F3	Q485F3	Q485F3_COLP3	CPS_1570
Q485G1	Q485G1	Q485G1_COLP3	CPS_1562
Q485G2	Q485G2	Q485G2_COLP3	CPS_1561
Q485G3	Q485G3	Q485G3_COLP3	CPS_1560
Q485G6	Q485G6	Q485G6_COLP3	CPS_1557
Q47Z09	Q47Z09	RLMKL_COLP3	CPS_3279
Q485I3	Q485I3	Q485I3_COLP3	CPS_1540
Q485I5	Q485I5	Q485I5_COLP3	CPS_1538
Q485I6	Q485I6	Q485I6_COLP3	CPS_1537
Q485I7	Q485I7	Q485I7_COLP3	CPS_1536
Q47Z14	Q47Z14	FABA_COLP3	CPS_3274
Q485J7	Q485J7	Q485J7_COLP3	CPS_1526
Q485K1	Q485K1	Q485K1_COLP3	CPS_1522
Q485K2	Q485K2	Q485K2_COLP3	CPS_1521
Q485K3	Q485K3	Q485K3_COLP3	CPS_1520
Q47Z50	Q47Z50	SYP_COLP3	CPS_3230
Q485R4	Q485R4	Q485R4_COLP3	CPS_1459
Q485R9	Q485R9	Q485R9_COLP3	CPS_1454
Q47Z58	Q47Z58	SYE_COLP3	CPS_3216
Q485S2	Q485S2	Q485S2_COLP3	CPS_1451
Q485S3	Q485S3	Q485S3_COLP3	CPS_1450
Q485S4	Q485S4	Q485S4_COLP3	CPS_1449
Q485S6	Q485S6	Q485S6_COLP3	CPS_1447
