From	Entry	Entry.Name	Gene.Names
Q484X1	Q484X1	Q484X1_COLP3	CPS_1656
Q484X2	Q484X2	Q484X2_COLP3	CPS_1655
Q484X4	Q484X4	Q484X4_COLP3	CPS_1653
Q484X5	Q484X5	Q484X5_COLP3	CPS_1652
Q484X6	Q484X6	Q484X6_COLP3	CPS_1651
Q484Y0	Q484Y0	Q484Y0_COLP3	CPS_1647
Q484Z3	Q484Z3	Q484Z3_COLP3	CPS_1634
Q47YI6	Q47YI6	DAPB_COLP3	dapB CPS_3460
Q485A2	Q485A2	Q485A2_COLP3	CPS_1625
Q485A6	Q485A6	Q485A6_COLP3	CPS_1621
Q485B3	Q485B3	Q485B3_COLP3	CPS_1614
Q485B6	Q485B6	Q485B6_COLP3	CPS_1607
Q485B8	Q485B8	Q485B8_COLP3	CPS_1605
Q485B9	Q485B9	Q485B9_COLP3	CPS_1604
Q485C0	Q485C0	Q485C0_COLP3	ivd CPS_1603
Q485C1	Q485C1	Q485C1_COLP3	mccB CPS_1602
Q485C2	Q485C2	Q485C2_COLP3	CPS_1601
Q485C3	Q485C3	Q485C3_COLP3	mccA CPS_1600
Q485C4	Q485C4	Q485C4_COLP3	mvaB CPS_1599
Q485C5	Q485C5	Q485C5_COLP3	dxnG CPS_1598
Q485C6	Q485C6	Q485C6_COLP3	dxnH CPS_1597
Q485C9	Q485C9	Q485C9_COLP3	CPS_1594
Q485D3	Q485D3	Q485D3_COLP3	CPS_1590
Q485D8	Q485D8	Q485D8_COLP3	CPS_1585
Q485D9	Q485D9	Q485D9_COLP3	CPS_1584
Q485E0	Q485E0	Q485E0_COLP3	CPS_1583
Q485E1	Q485E1	Q485E1_COLP3	CPS_1582
Q485E2	Q485E2	Q485E2_COLP3	pgm CPS_1581
Q485E4	Q485E4	Q485E4_COLP3	CPS_1579
Q485E8	Q485E8	Q485E8_COLP3	fur CPS_1575
Q485E9	Q485E9	Q485E9_COLP3	CPS_1574
Q485H1	Q485H1	Q485H1_COLP3	CPS_1552
Q485H3	Q485H3	Q485H3_COLP3	map CPS_1550
Q485I1	Q485I1	Q485I1_COLP3	CPS_1542
Q485J0	Q485J0	Q485J0_COLP3	thiL CPS_1533
Q485J5	Q485J5	Q485J5_COLP3	CPS_1528
Q485K4	Q485K4	Q485K4_COLP3	fliA CPS_1519
Q485K6	Q485K6	Q485K6_COLP3	flhF CPS_1517
Q485L2	Q485L2	Q485L2_COLP3	fliO CPS_1511
Q47Z18	Q47Z18	UVRC_COLP3	uvrC CPS_3270
Q485L4	Q485L4	Q485L4_COLP3	fliM CPS_1509
Q485L5	Q485L5	Q485L5_COLP3	fliL CPS_1508
Q485L9	Q485L9	Q485L9_COLP3	fliH CPS_1504
Q485M0	Q485M0	Q485M0_COLP3	fliG CPS_1503
Q485M1	Q485M1	Q485M1_COLP3	fliF CPS_1502
Q485M5	Q485M5	Q485M5_COLP3	flrA CPS_1498
Q485M7	Q485M7	Q485M7_COLP3	fliS CPS_1496
Q485N1	Q485N1	Q485N1_COLP3	fliD CPS_1492
Q485N2	Q485N2	Q485N2_COLP3	flaG CPS_1491
Q485N3	Q485N3	Q485N3_COLP3	CPS_1490
Q485N5	Q485N5	Q485N5_COLP3	CPS_1488
Q485P3	Q485P3	Q485P3_COLP3	flgE CPS_1480
Q485P9	Q485P9	Q485P9_COLP3	cheV CPS_1474
Q485Q1	Q485Q1	Q485Q1_COLP3	flgM CPS_1472
Q485Q2	Q485Q2	Q485Q2_COLP3	CPS_1471
Q485Q4	Q485Q4	Q485Q4_COLP3	CPS_1469
Q485R2	Q485R2	Q485R2_COLP3	CPS_1461
Q485S1	Q485S1	Q485S1_COLP3	CPS_1452
Q485S7	Q485S7	Q485S7_COLP3	CPS_1445
Q485T2	Q485T2	Q485T2_COLP3	CPS_1440
Q485T4	Q485T4	Q485T4_COLP3	CPS_1438
Q485T9	Q485T9	Q485T9_COLP3	CPS_1433
Q485U0	Q485U0	Q485U0_COLP3	mmsA2 CPS_1432
Q485U1	Q485U1	Q485U1_COLP3	CPS_1431
Q485U9	Q485U9	Q485U9_COLP3	CPS_1423
Q485V2	Q485V2	Q485V2_COLP3	CPS_1420
Q485V3	Q485V3	Q485V3_COLP3	CPS_1419
Q485V4	Q485V4	Q485V4_COLP3	CPS_1418
Q485V6	Q485V6	Q485V6_COLP3	CPS_1416
Q485V9	Q485V9	Q485V9_COLP3	CPS_1413
Q47UB3	Q47UB3	KGUA_COLP3	gmk CPS_4971
Q485W4	Q485W4	Q485W4_COLP3	CPS_1408
Q485W8	Q485W8	Q485W8_COLP3	CPS_1404
Q485X1	Q485X1	Q485X1_COLP3	CPS_1401
Q485X9	Q485X9	Q485X9_COLP3	CPS_1393
Q485Y1	Q485Y1	Q485Y1_COLP3	CPS_1391
Q485Z3	Q485Z3	Q485Z3_COLP3	CPS_1379
Q486A6	Q486A6	Q486A6_COLP3	CPS_1366
Q486B2	Q486B2	Q486B2_COLP3	CPS_1360
Q486B3	Q486B3	Q486B3_COLP3	add1 CPS_1359
Q486B6	Q486B6	Q486B6_COLP3	CPS_1356
Q486B7	Q486B7	Q486B7_COLP3	CPS_1355
Q486C4	Q486C4	Q486C4_COLP3	CPS_1348
Q486D0	Q486D0	Q486D0_COLP3	CPS_1342
Q486D1	Q486D1	Q486D1_COLP3	CPS_1341
Q486D3	Q486D3	Q486D3_COLP3	CPS_1339
Q486D4	Q486D4	Q486D4_COLP3	CPS_1338
Q486D5	Q486D5	Q486D5_COLP3	CPS_1337
Q486E2	Q486E2	Q486E2_COLP3	CPS_1330
Q47ZE0	Q47ZE0	FOLD1_COLP3	folD1 CPS_3133
Q486E3	Q486E3	Q486E3_COLP3	CPS_1329
Q486F6	Q486F6	Q486F6_COLP3	CPS_1316
Q486I4	Q486I4	Q486I4_COLP3	CPS_1288
