"","P01","P02","P03","P04","P05","P06","P07","P08","P09","P10","P11","P12","P13","P14","P15","P16","P17","P18","P19","P20","P21","P22","P23","P24","P25","P26","P27","P28","P29","P30","P31","P32","P33","P34","P35","P36","P37","P38","P39","P40","P41","P42"
"Q47W35",2.9190649580581,4.35938751591223,3.99351598589848,3.59475293552346,3.68592062217769,4.42461556480835,2.91716000897377,3.91912058552739,3.9194060480893,3.65364123015261,3.7354605115323,3.09172845161547,3.95699345652269,3.59474475963528,3.61519590388158,3.69419021747137,3.59081729296192,3.09008329314559,1.98980390250488,3.98419699897014,3.04106356368908,3.96098755082656,3.07660095352743,3.73878589776914,3.95584835625285,2.98418889854043,2.9481993368738,2.93275662389093,2.93470330573486,3.55183817481865,3.9868037474541,3.59695793675521,3.66794579148998,4.21138152867337,4.33391724640884,3.50771718274586,4.48794265406288,4.91906467631889,4.32286239210721,4.56352875638796,3.46890970732444,4.33171816087334
"Q47WK5",-0.350626192146607,0.767700964006895,-0.276293042658704,NA,NA,-0.167071059477979,-0.352511081896805,NA,NA,-0.201113790310994,0.880762776852201,NA,NA,0.740022771749226,-0.239479974056381,-0.16047116915172,NA,-0.179630155977904,NA,0.714445560628142,NA,0.691264811428448,0.806821842329135,1.4690394323397,NA,1.29940137534769,0.678478100590419,NA,-0.334957203812116,NA,NA,-0.257788735170269,0.81327068603398,NA,1.74223959513362,0.652986823848755,1.63325336076909,1.23426449445561,0.73120558017689,0.708825747183235,-0.385819077421547,1.32503799205855
"Q47WK6",3.49168138937327,3.6100791464661,4.30309561323786,1.99744312363431,2.08862229107245,NA,3.48977588615698,3.49173561734964,3.49202177228241,3.64128954183915,3.13813838308062,3.07938258671224,3.52960255177662,3.58240626376683,4.01788056322531,2.09687094559033,3.57846674051163,3.66269514238624,1.97743930706203,3.97184256692566,3.02871002117332,2.94864378244543,3.64921066297419,NA,3.5284619730946,3.55680483468214,4.52080835687398,2.92041081524868,4.2442770596664,2.95453073275562,3.55942461013347,4.32156891294368,4.07063230726659,2.87709655233304,2.99964090189389,4.23233882646347,3.47559385108828,3.49168369035815,3.5735507187721,1.96620466445607,4.19353361302923,3.58240364780565
"Q47WK7",3.82312347529152,4.52647326597342,3.89756944514047,3.91383219658245,3.58997635988362,3.59170763457777,4.406176813258,3.82317392820159,3.40842157066447,3.97272752765266,4.05454137963948,4.31771185667394,4.18297407308476,3.9138424142522,3.93427914629771,3.59823782077642,3.90990948658167,3.99413157733705,4.21577089217371,4.47320941309908,4.5300780068311,4.1869676753778,3.98064647668377,3.64283523767348,4.44486187870251,4.21016549256641,4.17417516776365,2.83681161550546,3.42371193889378,1.87090586584335,3.89086042491795,4.72339773981976,3.98702801174132,3.79350958772578,2.9160504922462,3.82681267162176,4.39199523567383,4.14504491713456,3.904989120487,NA,1.78799557515174,3.49879995914829
"Q47WL5",4.60593088826218,4.9873567701671,4.68037544612245,4.37471607419047,4.78782113759835,4.46762165477677,4.28209560894148,4.28405963907659,4.28434381485343,4.01857871088668,4.51543111107467,4.45666763773867,4.64385134021668,4.95968322501807,4.98012774431653,4.47415956523363,4.69272132754147,4.45501459637426,4.35472724264119,4.34913139208812,3.99095327518395,3.91088814354455,4.02649433555405,4.51876014780055,4.32078342572139,3.93408198165248,4.63506043585082,3.88265986559457,3.88459246775551,4.33180643323497,4.6736684340937,4.37692751993776,4.44791563596212,3.25438800844277,4.6988538384637,3.87265580958069,4.26791459945459,5.09135450754535,3.95083662573962,3.92846160694602,3.83385173878268,3.95968916513537
"Q47WM1",5.14376010871708,5.67718902144372,5.2182061814622,4.64951312336705,5.74069032418553,6.06434726107404,5.55689210360108,5.55884966974744,5.88106233940201,6.29337029489263,6.37518469979146,6.31642149720203,6.18168089366353,5.97144417126997,5.66995850097126,5.74895537638613,5.64558570775917,5.72980578067405,5.62952256691031,6.43127751776848,6.00271755935632,5.922645132763,5.71632655477524,6.11547988272814,5.180540385287,5.62391959841538,5.58792354557165,5.5724913084026,6.15939052461884,5.19156505793298,5.21149691808026,5.97364819118024,5.30767205733041,5.52918321051899,5.65172004647237,5.88441383086228,6.12767114482714,5.55879481670175,6.44801815431862,6.20325597867709,5.84560926821815,5.23448089137115
"Q47WM5",5.24099636206499,5.03746346028097,5.31544233298508,2.00980260764633,NA,NA,3.91716000897377,4.24105055795703,4.24133414297666,NA,NA,NA,5.54195296656079,5.46921822345366,5.83758574684743,2.10923896351047,NA,NA,5.31172483937378,5.3061214596773,5.0410588830108,NA,NA,NA,4.95584835625285,5.30611699342779,5.1181222758161,NA,NA,NA,5.57176923965208,4.59695793675521,5.25290427316457,NA,NA,1.9227546820247,5.90298096743732,6.00652920548298,5.58589679794101,NA,NA,NA
"Q47WM6",6.0311686558622,6.39056889213253,5.96811220687255,5.66245186515909,5.75362824280917,5.75535757653984,6.02926367846945,5.74171415727942,6.03150429208573,5.3063090246339,5.61051538226014,5.74439750545463,6.19461979512356,6.12188712429975,6.1423281033998,5.56925018281478,5.24348610358114,6.06467207745063,6.1018936141672,6.33730136955946,6.01565680819209,5.42101270549196,5.05119111905698,4.80649177326979,6.41587094835895,6.22182056922324,6.1858251020003,5.3927853765622,5.17233021314861,5.42689328688547,6.09890677484594,6.47201511997345,6.32061097484718,4.86405036111385,5.24962292889864,5.57542476524208,6.36300372021676,6.37909006299167,6.46095794606307,5.43858813574925,5.3439741221019,5.46980987767446
"Q47WM7",2.374627238956,2.49302580103863,2.44908695636278,2.46535807576715,3.14148514283279,3.14321259526317,2.95768292957357,2.95965460723369,2.95992479396255,2.52424760677213,2.60604565271629,2.54729375747693,2.99751979676009,3.05031966619125,2.48578428508612,1.56479754001898,1.46143019632375,1.54563085208974,2.44534543904771,1.43974473786461,3.08158540596984,3.00150859989392,2.5321717672875,2.60937494675595,2.99637235326927,1.43976928463332,2.40375970644222,1.38831341647616,NA,1.42243116706609,1.44236955051435,2.46755466479305,1.5385195891053,NA,1.46755353045368,NA,1.35852611922357,2.374627783058,1.45649757002032,1.43412774398701,2.33951547511634,2.46536320968351
"Q47WN4",6.01742513830897,5.94317114782559,5.89922633407331,6.80858026131272,6.36924192499756,6.37096960563414,5.60048024343051,6.01747667966395,5.82511562660815,6.62646631892397,6.70828083835344,6.19008750309856,5.86270105238167,5.91549876423836,6.12858400177389,6.37750624333189,5.6891759595979,6.18843276195506,5.67311176709077,5.88990479137552,5.72437881169853,5.38127439542372,6.49688071791308,6.25217844819946,5.86155905874518,5.6675065422246,5.36847932311528,6.03111710072142,5.61801614984889,5.65019136899709,5.67012399448298,5.43227663304741,5.76629898062148,5.57277294827107,5.9177021589273,6.02111272854434,5.32326228264331,5.60238589407152,5.90664522256843,5.39884950908174,5.56726958851603,6.10814467131729
